Model,Accuracy,Precision,Recall,F1 Score
XGBoost,0.7065972222222222,0.7092431263960647,0.7065972222222222,0.7065646909432692
Random Forest,0.6934523809523809,0.6943032716372198,0.6934523809523809,0.6936341578787827
LSTM,0.6870039682539683,0.6881382188257049,0.6870039682539683,0.6850361326941363
